rank,title,description,runtime(min),genre,rating,metascore,votes,gross,director,actors
11.,Doctor Sleep,"Years following the events of The Shining (1980), a now-adult Dan Torrance must protect a young girl with similar powers from a cult known as The True Knot, who prey on children with powers to remain immortal.",152,"Drama, Fantasy, Horror",7.4,59.0,"331,315",$190.24M,Mike Flanagan,"Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis"
12.,Midway,"The story of the Battle of Midway, told by the leaders and the sailors who fought it.",138,"Action, Adventure, Drama",6.7,47.0,"1,342",,Roland Emmerich,"Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans"
13.,Midsommar,A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,148,"Drama, Horror, Mystery",7.1,72.0,"590,692",$700.06M,Ari Aster,"Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper"
14.,Charlie's Angels,"When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.",118,"Action, Adventure, Comedy",4.7,52.0,"207,882",$159.56M,Elizabeth Banks,"Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks"
15.,1917,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",119,"Drama, War",8.3,78.0,"458,004",$324.59M,Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth"
16.,Koma,After a mysterious accident a young architect comes back to his senses in a very odd world. He must find out the exact laws and regulations of it as he fights for his life and keeps on looking for the exit to the real world.,111,"Action, Adventure, Fantasy",6.3,,"117,937",$53.55M,Nikita Argunov,"Rinal Mukhametov, Lyubov Aksyonova, Anton Pampushnyy, Milos Bikovic"
17.,Chhichhore,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",143,"Comedy, Drama",8.2,,"431,191",$216.43M,Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik"
18.,Radioactive,"Pioneer - Rebel - Genius. Radioactive is incredible, true-story of Marie Sklodowska-Curie and her Nobel Prize-winning work that changed the world starring Rosamund Pike and Sam Riley.",109,"Biography, Drama, Romance",6.1,56.0,"339,044",$213.52M,Marjane Satrapi,"Rosamund Pike, Yvette Feuer, Mirjam Novak, Ralph Berkin"
19.,Little Women,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",135,"Drama, Romance",7.9,91.0,"337,220",$85.08M,Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen"
20.,Uncut Gems,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.",135,"Crime, Drama, Thriller",7.4,90.0,"107,979",$54.55M,"Benny Safdie, ","Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo"
