rank,title,description,runtime,genre,rating,metascore,votes,gross,director,actors
26.,Baywatch,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",116 min,"Action, Comedy, Crime",5.5,37.0,"155,380",$58.06M,Seth Gordon,"Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra"
27.,Alien: Covenant,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.",122 min,"Horror, Sci-Fi, Thriller",6.4,65.0,"247,109",$74.26M,Ridley Scott,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride"
28.,Kong: Skull Island,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",118 min,"Action, Adventure, Fantasy",6.6,62.0,"260,943",$168.05M,Jordan Vogt-Roberts,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly"
29.,The Killing of a Sacred Deer,"Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",121 min,"Drama, Horror, Mystery",7.0,73.0,"115,071",$2.29M,Yorgos Lanthimos,"Barry G. Bernson, Herb Caillouet, Bill Camp, Raffey Cassidy"
30.,Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",105 min,"Animation, Adventure, Family",8.4,81.0,"348,962",$209.73M,"Lee Unkrich, ","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach"
31.,John Wick: Chapter 2,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",122 min,"Action, Crime, Thriller",7.5,75.0,"349,747",$92.03M,Chad Stahelski,"Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose"
32.,The Babysitter,The events of one evening take an unexpected turn for the worst for a young boy trying to spy on his babysitter.,85 min,"Comedy, Horror",6.3,,"58,701",,McG,"Judah Lewis, Samara Weaving, Robbie Amell, Hana Mae Lee"
33.,Atomic Blonde,An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.,115 min,"Action, Thriller",6.7,63.0,"170,027",$51.69M,David Leitch,"Charlize Theron, James McAvoy, John Goodman, Eddie Marsan"
34.,The Shape of Water,"At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",123 min,"Adventure, Drama, Fantasy",7.3,87.0,"355,700",$63.86M,Guillermo del Toro,"Sally Hawkins, Octavia Spencer, Michael Shannon, Doug Jones"
35.,Murder on the Orient Express,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.",114 min,"Crime, Drama, Mystery",6.5,52.0,"201,500",$102.83M,Kenneth Branagh,"Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench"
36.,Logan Lucky,Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.,118 min,"Comedy, Crime, Drama",7.0,78.0,"123,403",$27.78M,Steven Soderbergh,"Channing Tatum, Adam Driver, Daniel Craig, Farrah Mackenzie"
37.,The Mummy,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",111 min,"Action, Adventure, Fantasy",5.4,34.0,"168,439",$80.10M,Alex Kurtzman,"Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe"
